key,d,u,pp,ht,ft
i,1479545927.43,1479545927.51,,0.0879189968109,
 ,1479545927.62,1479545927.71,0.192649126053,0.0873210430145,0.105328083038
l,1479545927.75,1479545927.84,0.127275943756,0.095801115036,0.0314748287201
o,1479545927.94,1479545927.96,0.193665981293,0.022045135498,0.171620845795
v,1479545928.06,1479545928.17,0.118363142014,0.115634918213,0.00272822380066
e,1479545928.16,1479545928.26,0.097797870636,0.102270126343,-0.00447225570679
 ,1479545928.28,1479545928.35,0.118417024612,0.0795640945435,0.038852930069
w,1479545928.42,1479545928.51,0.147439002991,0.0922319889069,0.0552070140839
i,1479545928.49,1479545928.55,0.0685129165649,0.0637471675873,0.00476574897766
l,1479545928.79,1479545928.86,0.295861005783,0.0718371868134,0.22402381897
d,1479545929.0,1479545929.1,0.215774059296,0.0961329936981,0.119641065598
h,1479545929.22,1479545929.27,0.220582962036,0.0433201789856,0.177262783051
a,1479545929.32,1479545929.39,0.0997710227966,0.0635671615601,0.0362038612366
c,1479545929.49,1479545929.56,0.167847156525,0.0715389251709,0.0963082313538
k,1479545929.53,1479545929.58,0.0342109203339,0.0532910823822,-0.0190801620483
s,1479545930.0,1479545930.09,0.477860927582,0.0876080989838,0.390252828598
