key,d,u,pp,ht,ft
i,1479545722.07,1479545722.22,,0.151427030563,
 ,1479545722.2,1479545722.31,0.127989053726,0.107800960541,0.0201880931854
l,1479545722.37,1479545722.45,0.168015003204,0.0876770019531,0.0803380012512
o,1479545722.54,1479545722.61,0.173089981079,0.0666840076447,0.106405973434
v,1479545722.61,1479545722.7,0.0748720169067,0.0877718925476,-0.0128998756409
e,1479545722.77,1479545722.87,0.157415866852,0.0978760719299,0.0595397949219
 ,1479545722.86,1479545722.94,0.0905940532684,0.0797369480133,0.0108571052551
w,1479545723.02,1479545723.13,0.159879922867,0.111859083176,0.0480208396912
i,1479545723.1,1479545723.18,0.0824539661407,0.0773510932922,0.00510287284851
l,1479545723.25,1479545723.34,0.149505138397,0.0875918865204,0.0619132518768
d,1479545723.35,1479545723.44,0.0958540439606,0.0880749225616,0.00777912139893
h,1479545723.55,1479545723.65,0.199740886688,0.10378909111,0.095951795578
a,1479545723.65,1479545723.75,0.0966110229492,0.103507995605,-0.00689697265625
c,1479545723.81,1479545723.92,0.168097019196,0.103610038757,0.0644869804382
k,1479545723.89,1479545723.99,0.0716850757599,0.103693962097,-0.0320088863373
s,1479545724.01,1479545724.13,0.128225803375,0.116194009781,0.0120317935944
