key,d,u,pp,ht,ft
i,1479545704.69,1479545704.84,,0.151849031448,
 ,1479545704.81,1479545704.89,0.12500500679,0.0827040672302,0.0423009395599
l,1479545704.95,1479545705.02,0.138908147812,0.0717940330505,0.0671141147614
o,1479545705.09,1479545705.18,0.143884897232,0.0881869792938,0.0556979179382
v,1479545705.18,1479545705.28,0.0883359909058,0.0956311225891,-0.00729513168335
e,1479545705.36,1479545705.45,0.175727128983,0.0879878997803,0.0877392292023
 ,1479545705.43,1479545705.53,0.0745928287506,0.101342201233,-0.0267493724823
w,1479545705.59,1479545705.7,0.157709121704,0.111480951309,0.0462281703949
i,1479545705.64,1479545705.71,0.0477979183197,0.0762989521027,-0.028501033783
l,1479545705.79,1479545705.88,0.152368068695,0.0891370773315,0.0632309913635
d,1479545705.87,1479545705.97,0.0800340175629,0.0952959060669,-0.015261888504
h,1479545706.11,1479545706.21,0.241546869278,0.0938501358032,0.147696733475
a,1479545706.62,1479545706.73,0.509985208511,0.11162686348,0.398358345032
c,1479545706.87,1479545706.97,0.247575998306,0.104407787323,0.143168210983
k,1479545706.97,1479545707.08,0.104554891586,0.103595018387,0.000959873199463
s,1479545707.12,1479545707.18,0.145374059677,0.0622658729553,0.0831081867218
