key,d,u,pp,ht,ft
i,1479545855.04,1479545855.13,,0.0957989692688,
 ,1479545855.2,1479545855.3,0.159722089767,0.103944063187,0.0557780265808
l,1479545855.33,1479545855.41,0.135928869247,0.0799582004547,0.0559706687927
o,1479545855.52,1479545855.6,0.184018135071,0.0801150798798,0.103903055191
v,1479545855.62,,0.104290962219,,
e,1479545855.76,1479545855.87,0.136385917664,0.107285022736,0.029100894928
 ,1479545855.85,1479545855.97,0.0872960090637,0.120076179504,-0.0327801704407
w,1479545855.97,,0.128144979477,,
i,1479545856.12,1479545856.18,0.151274204254,0.0564198493958,0.0948543548584
l,1479545856.29,1479545856.37,0.160648822784,0.0880651473999,0.0725836753845
d,1479545856.57,1479545856.69,0.28822016716,0.12008190155,0.16813826561
h,1479545856.83,1479545856.93,0.25599694252,0.103642940521,0.152354001999
a,1479545856.9,1479545857.03,0.0723659992218,0.1301009655,-0.0577349662781
c,1479545857.02,1479545857.12,0.119309902191,0.103618144989,0.0156917572021
k,1479545857.12,1479545857.16,0.0958831310272,0.0400550365448,0.0558280944824
s,1479545857.22,,0.104339838028,,
v,,1479545855.71,,,
w,,1479545856.12,,,
